Feature A,Feature B,Feature C,Feature D,Feature E,Feature F,Feature G,Feature H,Feature I,Feature J,Feature K,Feature L
2707.029126,13981.35597,1708.959132,2551.746037,2530.331946,34.10255614,1020.531019,4.682177171,4.480385154,15.68606103,45.99564644,45.32894934
2683.627297,13154.39796,1659.748047,2462.216999,2683.214063,36.75603406,1030.734507,4.832806689,4.695004651,16.87551684,45.08897805,45.4605182
2675.927837,13634.62353,1705.547078,2599.685595,2465.917462,34.56283304,1055.209744,4.832722074,4.780045785,16.01097766,42.29140563,45.79687073
2717.931071,13334.59436,1600.268005,2447.543909,2463.386889,36.51990285,1045.538503,4.915177338,4.552063494,15.74577987,44.82649844,45.25875977
2739.141722,14186.00801,1678.771772,2457.385716,2451.855526,36.1117312,987.7101174,4.953398136,4.746270689,16.23248593,45.66252175,46.06680626
2653.325737,13857.28875,1713.54463,2612.415016,2319.036162,35.374011,968.7284524,4.587750944,4.612846625,16.65882955,46.14865832,45.55843325
2756.49052,13625.9221,1667.032668,2460.269369,2412.440198,35.30707421,970.7037078,4.946733665,4.493217067,16.04181625,42.78974274,45.2150112
2702.272452,13593.24327,1671.83391,2471.810783,2511.76812,33.88233954,1012.814603,4.861608288,4.486868342,16.63424271,44.38908279,43.40689489
2540.145477,13907.69907,1688.572423,2609.365997,2457.295294,35.06860113,1015.931686,4.521938476,4.554929402,17.1274556,42.9982067,46.65519559
2700.560906,13514.42266,1757.87906,2521.812521,2476.373322,33.84777511,1052.575157,4.747844688,4.531824994,16.09258922,45.50818159,44.44753138
2595.934961,13752.2032,1723.075207,2708.337322,2730.585997,34.97021889,967.7230453,4.582111233,4.498609952,16.05833489,45.55087379,44.9974352
2734.734303,14318.71011,1650.873193,2553.036944,2706.534123,34.10979967,981.8333865,4.583604237,4.665110733,16.36653951,44.50145608,43.41558036
2632.443534,13322.09532,1648.857107,2511.241937,2709.139804,35.88994788,1060.091207,4.956131271,4.558627234,16.47298826,45.18761601,44.91068889
2625.143816,13539.20701,1719.910347,2533.927002,2702.734344,34.42235198,1035.342634,4.934592373,4.508536716,16.71854695,44.21368838,47.16954011
2553.4248,14034.99992,1631.018143,2550.194863,2729.010716,36.98513476,1002.016847,4.572765927,4.571137629,16.01370351,43.99068556,43.63401961
2683.809583,13932.7255,1703.402041,2665.894921,2494.070565,36.64898386,1034.472698,4.643137662,4.441797168,16.08036111,44.99640525,46.86305886
2588.932207,14426.77086,1753.676006,2527.114266,2392.462022,35.70252097,985.2985524,4.910806148,4.422311196,17.02072824,43.40679339,45.61498971
2607.086158,14116.63963,1749.886732,2649.546894,2453.020314,34.49145877,997.5488611,4.729476035,4.727379924,17.70243854,43.30058254,47.32847201
2753.427619,14560.71958,1632.707299,2468.313053,2342.27614,34.34999162,1056.01206,4.652244327,4.536250206,17.39173009,46.25360901,46.30247454
2541.80072,14251.99966,1718.771492,2609.353023,2281.878749,35.60286366,964.198194,4.54065556,4.528173428,17.72901735,45.49541996,44.42613288
2712.872314,13475.32981,1604.933378,2557.810525,2282.987485,36.69726985,1006.766438,4.895524903,4.547201145,16.81626706,46.18125513,45.60364942
2594.202311,13655.70626,1651.374731,2598.409774,2380.330892,35.01770137,1036.917197,4.855727686,4.542679726,17.81029247,43.95291275,45.52155876
2605.195506,13589.70616,1605.586562,2653.651381,2408.154465,35.78742838,1021.208575,4.598480583,4.41182711,17.52590959,43.3600985,46.04662243
2716.734018,13908.35226,1632.060236,2606.321286,2261.652062,36.74899828,1067.541943,4.796714642,4.581464353,16.91064731,42.86572565,44.8282104
2541.438796,13926.28211,1615.657798,2493.45926,2302.320117,34.09918487,1046.731304,4.636718012,4.448833822,17.75944986,42.76733161,46.09773183
2624.218469,13265.25478,1635.739958,2571.421289,2331.548488,36.40750175,985.9430052,4.604504287,4.818844101,17.78554891,43.29122804,46.73334597
2586.02916,13093.89524,1659.777079,2646.716944,2453.620036,36.9488774,1052.615826,4.61384085,4.684024069,17.07422835,43.92844181,44.12707607
2594.766634,13407.58513,1754.184285,2608.660229,2436.58717,37.00604502,1018.902018,4.59567158,4.826822841,17.71302452,45.5285622,44.2578514
2669.718397,13317.98349,1702.262832,2665.39149,2434.587124,36.36367101,1059.507188,4.592480353,4.809115113,16.78770886,46.10011026,46.13641187
2588.934951,13829.72267,1686.625986,2567.022457,2320.392141,36.37122538,1025.611528,4.587598566,4.48741322,17.28662393,44.61426966,46.83227194
2568.65474,14099.14878,1665.085222,2542.630003,2149.665779,35.01372546,997.6511831,4.851986725,4.451822778,17.62316184,42.32082603,45.02207207
2731.61744,13741.45896,1689.27587,2548.563302,2151.722854,35.61452418,987.4427249,4.956154411,4.596231472,17.12233529,44.77176959,44.64040504
2537.835747,14527.02966,1729.197071,2537.681913,2005.287066,36.79304256,982.2071646,4.708314354,4.710864475,17.00649244,46.17244853,46.56059374
